Completed,Week,Day of Week,Projected Winner,Projected Winner's Rank,Projected Winner's Percentage,Projected Winner's Percentage Difference,Rank Difference,Away Team,Away Percentage,Home Team,Home Percentage,Game URL
false,14,Tuesday,Detroit Lions,3,58.6,17.5,23,Green Bay Packers,41.1,Detroit Lions,58.6,https://www.espn.com/nfl/game/_/gameId/401671814/packers-lions
false,14,Friday,New Orleans Saints,14,58.1,16.5,17,New Orleans Saints,58.1,New York Giants,41.6,https://www.espn.com/nfl/game/_/gameId/401671601/saints-giants
false,14,Saturday,Dallas Cowboys,8,57.2,14.8,3,Cincinnati Bengals,42.4,Dallas Cowboys,57.2,https://www.espn.com/nfl/game/_/gameId/401671690/bengals-cowboys
false,14,Friday,Buffalo Bills,4,54.8,9.9,5,Buffalo Bills,54.8,Los Angeles Rams,44.9,https://www.espn.com/nfl/game/_/gameId/401671773/bills-rams
false,14,Friday,Minnesota Vikings,15,54.4,9.2,2,Atlanta Falcons,45.2,Minnesota Vikings,54.4,https://www.espn.com/nfl/game/_/gameId/401671648/falcons-vikings
false,14,Friday,Pittsburgh Steelers,23,53.9,8.1,1,Cleveland Browns,45.8,Pittsburgh Steelers,53.9,https://www.espn.com/nfl/game/_/gameId/401671631/browns-steelers
false,14,Friday,Arizona Cardinals,20,52.3,5,2,Seattle Seahawks,47.3,Arizona Cardinals,52.3,https://www.espn.com/nfl/game/_/gameId/401671660/seahawks-cardinals
false,14,Friday,Jacksonville Jaguars,13,52,4.3,12,Jacksonville Jaguars,52,Tennessee Titans,47.7,https://www.espn.com/nfl/game/_/gameId/401671821/jaguars-titans
false,15,Friday,Dallas Cowboys,8,71.2,42.7,24,Dallas Cowboys,71.2,Carolina Panthers,28.5,https://www.espn.com/nfl/game/_/gameId/401671731/cowboys-panthers
false,15,Friday,Houston Texans,6,70.1,40.4,23,Miami Dolphins,29.7,Houston Texans,70.1,https://www.espn.com/nfl/game/_/gameId/401671860/dolphins-texans
false,15,Friday,Baltimore Ravens,7,67.8,35.9,24,Baltimore Ravens,67.8,New York Giants,31.9,https://www.espn.com/nfl/game/_/gameId/401671639/ravens-giants
false,15,Tuesday,San Francisco 49ers,1,64,28.3,8,Los Angeles Rams,35.7,San Francisco 49ers,64,https://www.espn.com/nfl/game/_/gameId/401671818/rams-49ers
false,15,Friday,Philadelphia Eagles,5,61.8,23.9,18,Pittsburgh Steelers,37.9,Philadelphia Eagles,61.8,https://www.espn.com/nfl/game/_/gameId/401671766/steelers-eagles
